artist;song;duration_ms;year;tempo;genre;energy;key;loudness
G-Eazy;Me, Myself & I;251466;2015;111.995;hip hop, pop;0.674;0;-6.518
Ashanti;Rain On Me;297960;2003;83.701;hip hop, pop, R&B;0.699;8;-3.103
OneRepublic;Wherever I Go;169773;2016;99.961;pop;0.689;10;-6.444
Drake;Headlines;235986;2011;151.894;hip hop, pop, R&B;0.566;6;-7.16
Kanye West;All Of The Lights;299613;2010;142.113;hip hop;0.803;1;-3.284
Ariana Grande;no tears left to cry;205920;2018;121.993;pop;0.713;9;-5.507
Usher;Scream;234693;2012;127.992;hip hop, pop, R&B;0.862;7;-5.18
Cashmere Cat;Miss You (with Major Lazer & Tory Lanez);186231;2018;100.028;pop, rock;0.641;1;-4.502
Fall Out Boy;My Songs Know What You Did In The Dark (Light Em Up);186826;2013;151.99;rock;0.924;9;-4.341
The Script;Hall of Fame (feat. will.i.am);202533;2012;84.786;pop, rock;0.873;10;-4.343
Katie Melua;Nine Million Bicycles;197160;2005;82.168;pop, easy listening, jazz;0.247;0;-15.636
Fabolous;Make Me Better;253573;2007;86.491;hip hop, pop, R&B;0.599;11;-6.886
Dominic Fike;3 Nights;177666;2018;151.891;rock, pop;0.518;7;-6.594
Janet Jackson;Doesn't Really Matter;265026;2001;99.316;pop, R&B;0.796;5;-3.081
Gwen Stefani;What You Waiting For?;221226;2004;136.027;pop, R&B;0.948;5;-2.557
Tinie Tempah;Pass Out;268053;2010;91.1;hip hop, pop, Dance/Electronic;0.891;1;-3.261
Burak Yeter;Tuesday (feat. Danelle Sandoval);241874;2016;99.002;Dance/Electronic;0.639;9;-6.052
Lauv;I Like Me Better;197436;2018;91.97;pop, Dance/Electronic;0.505;9;-7.621
The Red Jumpsuit Apparatus;Face Down;192000;2006;92.956;pop;0.932;7;-2.189
Imagine Dragons;Thunder;187146;2017;167.88;rock;0.81;0;-4.749
Mýa;My Love Is Like...Wo - Main Mix;209533;2003;132.817;pop, R&B;0.695;4;-6.491
Gigi D'Agostino;The Riddle;285426;1999;127.002;pop;0.876;6;-6.87
Enrique Iglesias;I Like It;231373;2010;129.007;pop, latin;0.942;10;-2.881
Lil Wayne;How To Love;240306;2011;153.992;hip hop, pop;0.661;11;-6.093
Beyoncé;Halo;261640;2008;79.983;pop, R&B;0.72;11;-5.908
Calvin Harris;One Kiss (with Dua Lipa);214846;2018;123.994;hip hop, pop, Dance/Electronic;0.862;9;-3.24
Take That;The Flood;289359;2010;100.631;pop;0.83;11;-6.077
Fall Out Boy;This Ain't A Scene, It's An Arms Race;212040;2007;199.935;rock;0.887;9;-4.07
Jason Aldean;Dirt Road Anthem;229413;2010;127.037;country;0.739;2;-5.068
Lil Baby;Yes Indeed;142273;2018;119.957;hip hop;0.346;5;-9.309
The Fray;You Found Me;241853;2009;151.994;pop;0.803;8;-5.412
Florida Georgia Line;Cruise;208960;2012;148.0;country;0.948;10;-3.364
Kevin Lyttle;Turn Me On;192106;2004;106.279;hip hop;0.682;9;-6.879
Aaliyah;Try Again;284000;2002;93.02;hip hop, pop, R&B;0.622;6;-5.642
DJ Casper;Cha Cha Slide - Hardino Mix;222146;2004;131.012;set();0.911;11;-6.722
P!nk;Most Girls;298960;2000;97.922;pop;0.732;2;-6.046
Avicii;Silhouettes - Original Radio Edit;211880;2012;128.074;pop, Dance/Electronic;0.8;5;-6.235
Gym Class Heroes;Cookie Jar (feat. The-Dream);216317;2008;113.053;hip hop, pop;0.668;5;-4.061
A.R. Rahman;Jai Ho! (You Are My Destiny);222400;2009;136.202;set();0.941;8;-3.919
Years & Years;King;215360;2015;119.977;pop, Dance/Electronic;0.848;4;-4.125
Rob Thomas;Lonely No More;226640;2005;171.79;pop, Folk/Acoustic;0.896;9;-3.152
Imagine Dragons;Whatever It Takes;201240;2017;134.945;rock;0.655;10;-5.021
Taio Cruz;Break Your Heart;201546;2010;122.01;hip hop, pop;0.934;3;-4.217
Sammie;I Like It;251040;2000;129.963;hip hop, pop, R&B;0.656;9;-8.529
The Weeknd;In The Night;235653;2015;167.939;pop, R&B;0.682;7;-4.94
Snoop Dogg;Beautiful;299146;2005;101.025;hip hop, pop;0.74;11;-4.936
Joel Corry;Sorry;188640;2019;125.002;pop, Dance/Electronic;0.79;8;-4.617
D4L;Laffy Taffy;224253;2005;77.499;hip hop, pop;0.439;7;-7.994
Sam Smith;"Writing's On The Wall - From ""Spectre"" Soundtrack";278987;2015;81.418;pop;0.302;5;-8.19
Pretty Ricky;Your Body;240040;2005;90.038;hip hop, pop, R&B;0.594;4;-5.695
Machine Gun Kelly;Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha);202804;2017;82.034;hip hop, pop;0.718;3;-5.232
Swedish House Mafia;Don't You Worry Child - Radio Edit;212862;2012;129.042;pop, Dance/Electronic;0.84;11;-3.145
Mann;Buzzin Remix;224333;2011;104.029;hip hop, pop;0.939;10;-4.372
P!nk;Stupid Girls;197173;2006;100.04;pop;0.886;4;-5.045
Britney Spears;If U Seek Amy;216520;2008;129.954;pop;0.587;4;-7.296
Blanco Brown;The Git Up;200593;2019;97.984;hip hop, country;0.678;9;-8.635
The Game;My Life;320893;2008;148.113;hip hop, pop;0.766;11;-5.018
Ellie Goulding;On My Mind;213445;2015;154.943;pop, rock, Dance/Electronic;0.688;2;-6.607
Dennis Lloyd;Nevermind;156600;2017;99.977;pop;0.688;5;-8.339
Calvin Harris;Blame (feat. John Newman);212960;2014;128.024;hip hop, pop, Dance/Electronic;0.857;0;-4.078
Beyoncé;Beautiful Liar;199853;2007;91.977;pop, R&B;0.751;8;-3.74
Mary J. Blige;Rainy Dayz;276373;2001;68.942;pop, R&B;0.667;6;-6.997
JAY-Z;Run This Town;267520;2009;86.844;hip hop;0.924;1;-1.802
Jason Derulo;It Girl;192200;2011;91.993;hip hop, pop;0.718;1;-4.736
Iggy Azalea;Black Widow;209423;2014;163.99;hip hop, pop;0.72;11;-3.753
Justin Timberlake;Like I Love You;283626;2002;114.964;pop;0.811;6;-4.927
The Fray;Never Say Never;256613;2009;160.139;pop;0.492;8;-5.767
Ellie Goulding;"Love Me Like You Do - From ""Fifty Shades Of Grey""";252534;2015;189.857;pop, rock, Dance/Electronic;0.606;8;-6.646
Pitbull;Time of Our Lives;229360;2014;124.022;hip hop, pop, latin;0.802;1;-5.797
Lady A;Need You Now;236440;2010;107.884;pop, country;0.717;4;-4.433
